#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#At. num| Sp. Name      | Ion Charge | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |      Ionization Energy (b) (eV)       | References
#-------|---------------|------------|------------|-------------|-------------------|--------------|-------------------|---------------------------------------|-------------------
     13 | Al V          |         +4 | Aluminum   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [153.8252(25)]               |       L4714,L3565
     13 | Al VI         |         +5 | Aluminum   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [190.490(50)]                |             L7215
     13 | Al VII        |         +6 | Aluminum   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [241.760(90)]                |             L7215
     13 | Al VIII       |         +7 | Aluminum   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [284.638(70)]                |            L11770
     13 | Al IX         |         +8 | Aluminum   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [330.212(40)]                |            L11770
     13 | Al X          |         +9 | Aluminum   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [398.650(60)]                |            L11770
     13 | Al XI         |        +10 | Aluminum   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (442.0050(70))               |         L16264c99
     13 | Al XII        |        +11 | Aluminum   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (2085.97693(20))              |            L12128
     13 | Al XIII       |        +12 | Aluminum   | H           | 1s                | 2S<1/2>      |                   |         (2304.14000(25))              |             L7188
     14 | Si I          |          0 | Silicon    | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |             8.151683(30)              |             L5815
     14 | Si II         |         +1 | Silicon    | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |            16.345845(40)              |             L5815
     14 | Si III        |         +2 | Silicon    | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |            33.493000(90)              |             L5815
     14 | Si IV         |         +3 | Silicon    | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            45.141790(70)              |             L5815
     14 | Si V          |         +4 | Silicon    | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           166.7670(30)                |             L3934
     14 | Si VI         |         +5 | Silicon    | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [205.267(19)]                |             L5815
     14 | Si VII        |         +6 | Silicon    | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [246.32(10)]                 |            L11770
