# temp h_1 he_1 he_2 c_1 c_2 c_3 n_1 n_2 n_3 n_4 o_1 o_2 o_3 o_4 o_5
9.449588209829783148e-02 5.549718990593406116e-72 4.602421127967221999e-123 1.406071786786321546e-260 7.172998781754635581e-61 8.739915736531272829e-122 4.334219903168878503e-230 4.166999426150193417e-76 1.981677376188535169e-145 9.022846124904417277e-228 0.000000000000000000e+00 4.625931619360755175e-72 3.473616330893381797e-171 3.379768837171833529e-262 0.000000000000000000e+00 0.000000000000000000e+00
9.493249288913074846e-02 1.078229470512029858e-71 1.526592927389938617e-122 1.991865928988617001e-259 1.243751808063537612e-60 2.870527211156066500e-121 4.468261655040096232e-229 8.473264278441198966e-76 8.389119274477277516e-145 9.105084473343957440e-227 0.000000000000000000e+00 8.995834832335027979e-72 1.923452262307446737e-170 4.910042223526232514e-261 0.000000000000000000e+00 0.000000000000000000e+00
9.537112100578176710e-02 2.088476249829099741e-71 5.035818538985471731e-122 2.787548952084834365e-258 2.151157313250872973e-60 9.376612725389709242e-121 4.557334018011830368e-228 1.717375345357761537e-75 3.527947612786249235e-144 9.090999993414796016e-226 0.000000000000000000e+00 1.744053674124317612e-71 1.056737659617829705e-169 7.046003812788140950e-260 0.000000000000000000e+00 0.000000000000000000e+00
9.581177576914638727e-02 4.033036030035111626e-71 1.652105691284583311e-121 3.854064901751003092e-257 3.711257862057071239e-60 3.046288852143973378e-120 4.598848928278252505e-227 3.469551629051246199e-75 1.473884532720803245e-143 8.981477780548356256e-225 0.000000000000000000e+00 3.371012924896442870e-71 5.760429524411404165e-169 9.988137226068834964e-259 0.000000000000000000e+00 0.000000000000000000e+00
9.625446654318613182e-02 7.764704511129899853e-71 5.390604306678896724e-121 5.264703105530751403e-256 6.386833796261203083e-60 9.843461050083730936e-120 4.591713246939821781e-226 6.986853104249986427e-75 6.117212172849280697e-143 8.780384278423495374e-224 0.000000000000000000e+00 6.496048329095672835e-71 3.115731962121152774e-168 1.398732144941042343e-257 0.000000000000000000e+00 0.000000000000000000e+00
9.669920273512838671e-02 1.490438494138468556e-70 1.749362630422234978e-120 7.105770770184796514e-255 1.096404002395696921e-59 3.163639721518132404e-119 4.536374707632413733e-225 1.402479225543334151e-74 2.522350814482917182e-142 8.494344065846447050e-223 0.000000000000000000e+00 1.248051101908881108e-70 1.672239230013069778e-167 1.935162218260074293e-256 0.000000000000000000e+00 0.000000000000000000e+00
9.714599379566558890e-02 2.852367471854507420e-70 5.646454631713139989e-120 9.476652268729913533e-254 1.877504942535345963e-59 1.011345187144267170e-118 4.434786796900334286e-224 2.806236292913938504e-74 1.033314085293443324e-141 8.132380630993930849e-222 0.000000000000000000e+00 2.390648824667638826e-70 8.906053665929083805e-167 2.645191917757220047e-255 0.000000000000000000e+00 0.000000000000000000e+00
9.759484921915634326e-02 5.442584134031957845e-70 1.812743016998141493e-119 1.248903914357869298e-252 3.207170050768246379e-59 3.215849440177015041e-118 4.290295983852836091e-223 5.597207310262559660e-74 4.205785483338335067e-141 7.705448066067357408e-221 0.000000000000000000e+00 4.565680062788358471e-70 4.706913361859287275e-166 3.572548235367101621e-254 0.000000000000000000e+00 0.000000000000000000e+00
9.804577854382756641e-02 1.035425910600712018e-69 5.788576558320590639e-119 1.626511784820457686e-251 5.465101455601230262e-59 1.017153648408117657e-117 4.107460260265909173e-222 1.112869536601037067e-73 1.700837126067994573e-140 7.225887246382817704e-220 0.000000000000000000e+00 8.693754838347216813e-70 2.468689338180534349e-165 4.767647315389951429e-253 0.000000000000000000e+00 0.000000000000000000e+00
9.849879135197628366e-02 1.964052177677452523e-69 1.838624991125104038e-118 2.093452804574982502e-250 9.289978512211649989e-59 3.200240211590621941e-117 3.891812595592107701e-221 2.205713713078315949e-73 6.834268724807711304e-140 6.706843640717455084e-219 0.000000000000000000e+00 1.650545301509529161e-69 1.284964979410371814e-164 6.287226974105414140e-252 0.000000000000000000e+00 0.000000000000000000e+00
